customer_id,First_Name,Last_Name,gender,DOB,AGE,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,deceased_indicator,tenure,Owns_Car,Address,Postcode,State,Country,property_valuation,Calculated_Age,Mass_Affluent,Age_Group,Customer_Value,Is_Mass_Affluent_Custom,Cluster
1,Laraine,Medendorp,Female,1953-10-12,69,93,Health,Mass Customer,N,11,1,060 Morning Avenue,2016,New South Wales,Australia,10,72,False,60+,118600,False,1
2,Eli,Bockman,Male,1980-12-16,42,81,Financial Services,Mass Customer,N,16,1,6 Meadow Vale Court,2153,New South Wales,Australia,10,45,False,30-45,116200,True,1
4,Talbot,Unknown,Male,1961-10-03,61,33,IT,Mass Customer,N,7,0,0 Holy Cross Court,4211,Queensland,Australia,9,64,False,60+,96600,True,2
5,Sheila-kathryn,Calton,Female,1977-05-13,45,56,Not Specified,Affluent Customer,N,8,1,17979 Del Mar Point,2448,New South Wales,Australia,4,48,True,30-45,51200,True,0
6,Curr,Duckhouse,Male,1966-09-16,56,35,Retail,High Net Worth,N,13,1,9 Oakridge Court,3216,Victoria,Australia,9,59,True,46-60,97000,True,1
7,Fina,Merali,Female,1976-02-23,46,6,Financial Services,Affluent Customer,N,11,1,4 Delaware Trail,2210,New South Wales,Australia,9,49,True,46-60,91200,False,1
8,Rod,Inder,Male,1962-03-30,60,31,Not Specified,Mass Customer,N,7,0,49 Londonderry Lane,2650,New South Wales,Australia,4,63,False,46-60,46200,True,0
9,Mala,Lind,Female,1973-03-10,49,97,Argiculture,Affluent Customer,N,8,1,97736 7th Trail,2023,New South Wales,Australia,12,52,True,46-60,139400,True,1
11,Uriah,Bisatt,Male,1954-04-30,68,99,Property,Mass Customer,N,9,0,93405 Ludington Park,3044,Victoria,Australia,8,71,False,60+,99800,False,1
12,Sawyere,Flattman,Male,1994-07-21,28,58,Manufacturing,Mass Customer,N,8,0,44339 Golden Leaf Alley,4557,Queensland,Australia,4,31,False,<30,51600,False,3
